estimator,scoring_method,performance_mean,performance_std,vect__analyzer,vect__ngram_range,vect__stop_words,tfidf__use_idf,svr__kernel,svr__gamma,svr__C
SVR,r2,0.5368710263614094,0.02398317638826083,word,"(1, 1)",No,True,rbf,scale,1
SVR,r2,0.5340191641249222,0.02569734671040586,word,"(1, 1)",Yes (n=232),True,rbf,scale,1
SVR,r2,0.53430785338652,0.021205759102562068,word,"(1, 3)",No,True,rbf,scale,1
SVR,r2,0.5314519979177831,0.02334439448632929,word,"(1, 3)",Yes (n=232),True,rbf,scale,1
SVR,r2,0.5193959740512752,0.022166609052948472,word,"(1, 6)",No,True,rbf,scale,1
SVR,r2,0.5186779226265334,0.023956348745930795,word,"(1, 6)",Yes (n=232),True,rbf,scale,1
SVR,r2,0.5465637622603658,0.025446043828519335,word,"(1, 1)",No,False,rbf,scale,1
SVR,r2,0.5476888048761548,0.02582921810820835,word,"(1, 1)",Yes (n=232),False,rbf,scale,1
SVR,r2,0.542887471724652,0.024219799149003525,word,"(1, 3)",No,False,rbf,scale,1
SVR,r2,0.5388040371525932,0.02469861141541124,word,"(1, 3)",Yes (n=232),False,rbf,scale,1
SVR,r2,0.5180881684120349,0.027310938282446767,word,"(1, 6)",No,False,rbf,scale,1
SVR,r2,0.5154387354204346,0.027427294840360245,word,"(1, 6)",Yes (n=232),False,rbf,scale,1
SVR,r2,-0.016493658531975486,0.009106238620393848,word,"(1, 1)",No,True,rbf,auto,1
SVR,r2,-0.015723065275169777,0.009082713082700351,word,"(1, 1)",Yes (n=232),True,rbf,auto,1
SVR,r2,-0.03106130884474556,0.009073782020877828,word,"(1, 3)",No,True,rbf,auto,1
SVR,r2,-0.030984182493533872,0.009072586174266326,word,"(1, 3)",Yes (n=232),True,rbf,auto,1
SVR,r2,-0.0313925621424405,0.00907597819452338,word,"(1, 6)",No,True,rbf,auto,1
SVR,r2,-0.03134441568871153,0.009077180545963688,word,"(1, 6)",Yes (n=232),True,rbf,auto,1
SVR,r2,-0.002833275733535934,0.009523935648635545,word,"(1, 1)",No,False,rbf,auto,1
SVR,r2,-0.00022325645151533013,0.009454625945409356,word,"(1, 1)",Yes (n=232),False,rbf,auto,1
SVR,r2,-0.030212988508454375,0.009083018122784742,word,"(1, 3)",No,False,rbf,auto,1
SVR,r2,-0.029922684037498693,0.009078183084639826,word,"(1, 3)",Yes (n=232),False,rbf,auto,1
SVR,r2,-0.03110083332152249,0.00906885812625776,word,"(1, 6)",No,False,rbf,auto,1
SVR,r2,-0.030948154759203338,0.009070043799711944,word,"(1, 6)",Yes (n=232),False,rbf,auto,1
SVR,r2,0.5346270806299713,0.02098287215643461,word,"(1, 1)",No,True,rbf,scale,10
SVR,r2,0.5293992654187234,0.023119364062233604,word,"(1, 1)",Yes (n=232),True,rbf,scale,10
SVR,r2,0.557773003631348,0.01975070092263331,word,"(1, 3)",No,True,rbf,scale,10
SVR,r2,0.5479992296548871,0.022761092910431782,word,"(1, 3)",Yes (n=232),True,rbf,scale,10
SVR,r2,0.5424330105414168,0.02296086887064302,word,"(1, 6)",No,True,rbf,scale,10
SVR,r2,0.5317333346966033,0.02509787500520208,word,"(1, 6)",Yes (n=232),True,rbf,scale,10
SVR,r2,0.5478494252984147,0.025147379014762227,word,"(1, 1)",No,False,rbf,scale,10
SVR,r2,0.5445216475044792,0.02588608647534209,word,"(1, 1)",Yes (n=232),False,rbf,scale,10
SVR,r2,0.5640182452879228,0.019958817628085167,word,"(1, 3)",No,False,rbf,scale,10
SVR,r2,0.5549769595833952,0.02251624247600267,word,"(1, 3)",Yes (n=232),False,rbf,scale,10
SVR,r2,0.541472199696359,0.023524828924870775,word,"(1, 6)",No,False,rbf,scale,10
SVR,r2,0.5310581740062471,0.025236549516361326,word,"(1, 6)",Yes (n=232),False,rbf,scale,10
SVR,r2,0.09409001459285685,0.009076227305170924,word,"(1, 1)",No,True,rbf,auto,10
SVR,r2,0.10011998046017334,0.009072875515482129,word,"(1, 1)",Yes (n=232),True,rbf,auto,10
SVR,r2,-0.027367003023660796,0.009072685336277407,word,"(1, 3)",No,True,rbf,auto,10
SVR,r2,-0.026559545338074787,0.009060655018214101,word,"(1, 3)",Yes (n=232),True,rbf,auto,10
SVR,r2,-0.030361348513289865,0.009068405446174042,word,"(1, 6)",No,True,rbf,auto,10
SVR,r2,-0.029944365590242716,0.009062730024341702,word,"(1, 6)",Yes (n=232),True,rbf,auto,10
SVR,r2,0.1695280749083677,0.00939227801087574,word,"(1, 1)",No,False,rbf,auto,10
SVR,r2,0.1848531628334899,0.010067276980762211,word,"(1, 1)",Yes (n=232),False,rbf,auto,10
SVR,r2,-0.019308013227938892,0.009199395637766474,word,"(1, 3)",No,False,rbf,auto,10
SVR,r2,-0.016438350495918908,0.00919820701394327,word,"(1, 3)",Yes (n=232),False,rbf,auto,10
SVR,r2,-0.02778767165776901,0.00909143451237404,word,"(1, 6)",No,False,rbf,auto,10
SVR,r2,-0.026379330596511607,0.009091196182803522,word,"(1, 6)",Yes (n=232),False,rbf,auto,10
SVR,r2,0.5222875831553517,0.021535371225971066,word,"(1, 1)",No,True,rbf,scale,100
SVR,r2,0.5171182885962969,0.022385682825176743,word,"(1, 1)",Yes (n=232),True,rbf,scale,100
SVR,r2,0.5577596709248516,0.019762924155859847,word,"(1, 3)",No,True,rbf,scale,100
SVR,r2,0.5480253176334575,0.022795810981290167,word,"(1, 3)",Yes (n=232),True,rbf,scale,100
SVR,r2,0.5424249298861737,0.02296312741679657,word,"(1, 6)",No,True,rbf,scale,100
SVR,r2,0.5317354668230505,0.025101311906053324,word,"(1, 6)",Yes (n=232),True,rbf,scale,100
SVR,r2,0.5313560082542461,0.02498335131802473,word,"(1, 1)",No,False,rbf,scale,100
SVR,r2,0.5265408159094636,0.0265910159784581,word,"(1, 1)",Yes (n=232),False,rbf,scale,100
SVR,r2,0.5625650733856231,0.02008913451746098,word,"(1, 3)",No,False,rbf,scale,100
SVR,r2,0.5530805513455157,0.02274391696090351,word,"(1, 3)",Yes (n=232),False,rbf,scale,100
SVR,r2,0.5409522642334779,0.023569122800483736,word,"(1, 6)",No,False,rbf,scale,100
SVR,r2,0.5303575883617653,0.025322162256464744,word,"(1, 6)",Yes (n=232),False,rbf,scale,100
SVR,r2,0.4089520213537236,0.017368838156402118,word,"(1, 1)",No,True,rbf,auto,100
SVR,r2,0.4130545550730713,0.02025108154310145,word,"(1, 1)",Yes (n=232),True,rbf,auto,100
SVR,r2,0.007931485614900913,0.009276901938864011,word,"(1, 3)",No,True,rbf,auto,100
SVR,r2,0.015339671636667296,0.009173401054417342,word,"(1, 3)",Yes (n=232),True,rbf,auto,100
SVR,r2,-0.020543924548067728,0.009064481454244147,word,"(1, 6)",No,True,rbf,auto,100
SVR,r2,-0.01652450470250244,0.00903466635052804,word,"(1, 6)",Yes (n=232),True,rbf,auto,100
SVR,r2,0.4357172814503284,0.021903419379948583,word,"(1, 1)",No,False,rbf,auto,100
SVR,r2,0.44205055030538726,0.023281607123779736,word,"(1, 1)",Yes (n=232),False,rbf,auto,100
SVR,r2,0.07463624649823389,0.010394097743297753,word,"(1, 3)",No,False,rbf,auto,100
SVR,r2,0.09392274521264457,0.010299581643601986,word,"(1, 3)",Yes (n=232),False,rbf,auto,100
SVR,r2,0.004089413153983057,0.009429110992189451,word,"(1, 6)",No,False,rbf,auto,100
SVR,r2,0.016990819929450042,0.0094746404546936,word,"(1, 6)",Yes (n=232),False,rbf,auto,100
SVR,r2,0.569737295538622,0.0239214996013161,char,"(1, 9)",Yes (n=232),True,rbf,scale,1
SVR,r2,0.5818276204077406,0.024795332856823882,char,"(1, 9)",Yes (n=232),False,rbf,scale,1
SVR,r2,-0.031384749595043046,0.009071148753924958,char,"(1, 9)",Yes (n=232),True,rbf,auto,1
SVR,r2,-0.03132240127641182,0.009069732608401616,char,"(1, 9)",Yes (n=232),False,rbf,auto,1
SVR,r2,0.5868412959155014,0.020432532388843877,char,"(1, 9)",Yes (n=232),True,rbf,scale,10
SVR,r2,0.5940547155823672,0.018800370982902295,char,"(1, 9)",Yes (n=232),False,rbf,scale,10
SVR,r2,-0.030764903111207074,0.009076010392801192,char,"(1, 9)",Yes (n=232),True,rbf,auto,10
SVR,r2,-0.030215943522218503,0.00907199076498958,char,"(1, 9)",Yes (n=232),False,rbf,auto,10
SVR,r2,0.5856874340862669,0.019986344519962257,char,"(1, 9)",Yes (n=232),True,rbf,scale,100
SVR,r2,0.5862835060211934,0.0174147443690023,char,"(1, 9)",Yes (n=232),False,rbf,scale,100
SVR,r2,-0.02444352214038221,0.009099042856529809,char,"(1, 9)",Yes (n=232),True,rbf,auto,100
SVR,r2,-0.019439109079880224,0.00914192569268877,char,"(1, 9)",Yes (n=232),False,rbf,auto,100
SVR,r2,0.5120567265778596,0.030884696741455418,word,"(1, 1)",No,True,linear,N/A,1
SVR,r2,0.5081101139784061,0.033053036765133166,word,"(1, 1)",Yes (n=232),True,linear,N/A,1
SVR,r2,0.5323667995315541,0.025914994298743388,word,"(1, 3)",No,True,linear,N/A,1
SVR,r2,0.516177166101637,0.02949236857357389,word,"(1, 3)",Yes (n=232),True,linear,N/A,1
SVR,r2,0.48113561052474535,0.029657021665368124,word,"(1, 6)",No,True,linear,N/A,1
SVR,r2,0.4648439458483399,0.03261251466930777,word,"(1, 6)",Yes (n=232),True,linear,N/A,1
SVR,r2,0.5168662723971698,0.028800870163988468,word,"(1, 1)",No,False,linear,N/A,1
SVR,r2,0.5159123028779354,0.030522482773312497,word,"(1, 1)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.5362649145033835,0.026224202945883946,word,"(1, 3)",No,False,linear,N/A,1
SVR,r2,0.523366262880716,0.027072902692491057,word,"(1, 3)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.4954907871822976,0.02802432933325543,word,"(1, 6)",No,False,linear,N/A,1
SVR,r2,0.4796091224281193,0.029424185911528945,word,"(1, 6)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.4124263912208833,0.030503860954331243,word,"(1, 1)",No,True,linear,N/A,10
SVR,r2,0.4072198165807702,0.03298831527436289,word,"(1, 1)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.49358357835052474,0.02324012289032054,word,"(1, 3)",No,True,linear,N/A,10
SVR,r2,0.4716236886495523,0.030048012781625465,word,"(1, 3)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.45407076780905536,0.02427966894550254,word,"(1, 6)",No,True,linear,N/A,10
SVR,r2,0.43222036124734514,0.028745248673318468,word,"(1, 6)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.4692299215164697,0.025400993558412473,word,"(1, 1)",No,False,linear,N/A,10
SVR,r2,0.45888168931970164,0.02762803415132337,word,"(1, 1)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.5102230156550002,0.02609313735560425,word,"(1, 3)",No,False,linear,N/A,10
SVR,r2,0.4920038422370633,0.02703000611169225,word,"(1, 3)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.48958448929115284,0.02665663490455589,word,"(1, 6)",No,False,linear,N/A,10
SVR,r2,0.4674954447292129,0.027905813685671833,word,"(1, 6)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.16583347784109148,0.05414778635848108,word,"(1, 1)",No,True,linear,N/A,100
SVR,r2,0.15895712933186082,0.05440131470324251,word,"(1, 1)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.4530840578945073,0.021283927938216863,word,"(1, 3)",No,True,linear,N/A,100
SVR,r2,0.44019047276436823,0.025121648121701333,word,"(1, 3)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.4393484206948412,0.02218536642849005,word,"(1, 6)",No,True,linear,N/A,100
SVR,r2,0.41864791569703963,0.027530768253082125,word,"(1, 6)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.2577604656104403,0.047674732499636795,word,"(1, 1)",No,False,linear,N/A,100
SVR,r2,0.23556544310553496,0.04053317998003983,word,"(1, 1)",Yes (n=232),False,linear,N/A,100
SVR,r2,0.44778983328412175,0.022510073566120982,word,"(1, 3)",No,False,linear,N/A,100
SVR,r2,0.4368241425544932,0.02401786302837133,word,"(1, 3)",Yes (n=232),False,linear,N/A,100
SVR,r2,0.45517917008019504,0.022404030962106247,word,"(1, 6)",No,False,linear,N/A,100
SVR,r2,0.431527372248454,0.026849466784192665,word,"(1, 6)",Yes (n=232),False,linear,N/A,100
SVR,r2,0.5808768329277358,0.02799949916510401,char,"(1, 9)",Yes (n=232),True,linear,N/A,1
SVR,r2,0.5732676668119752,0.027906230086764846,char,"(1, 9)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.5281816117369046,0.02238394967070932,char,"(1, 9)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.5612870137739991,0.02511345248015678,char,"(1, 9)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.4497157199908816,0.02140097249548805,char,"(1, 9)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.4706664974538205,0.017502637180272434,char,"(1, 9)",Yes (n=232),False,linear,N/A,100
