fit_time,fit_time_std,score_time,score_time_std,neg_mean_absolute_error,neg_mean_absolute_error_std,max_minutes_between_events,estimator,n_samples,input_varid,output_varid
0.09120429515838625,0.0033232396434821044,0.008749642372131348,0.0006349417756549353,-1.3786502879866247,0.1277681385269469,30,SGDRegressor,100,Visite_ZNS,RASS
0.040647797584533685,0.0019679427698197785,0.009982914924621581,0.0005235390110715236,-1.4768431319520237,0.1593774018678819,30,SVR,100,Visite_ZNS,RASS
0.13842440128326416,0.003799935512362921,0.013533258438110351,0.0006780208980095093,-1.3611900700005963,0.1152432421106063,30,SGDRegressor,200,Visite_ZNS,RASS
0.09155779838562011,0.002637759854009127,0.024903082847595216,0.0008447467377469435,-1.3199007484235354,0.11046155194070098,30,SVR,200,Visite_ZNS,RASS
0.23047887325286864,0.018347440085404752,0.0235750675201416,0.00390222209591575,-1.3676077153767,0.08375154907541763,30,SGDRegressor,300,Visite_ZNS,RASS
0.144645619392395,0.004181696537795982,0.04188149929046631,0.001464031724873713,-1.2553045297493568,0.08662227441357398,30,SVR,300,Visite_ZNS,RASS
0.3047875213623047,0.02106537927383559,0.032898774147033696,0.00519095585133828,-1.291404762499257,0.08150661131702103,30,SGDRegressor,400,Visite_ZNS,RASS
0.23970614433288576,0.007532992522427348,0.07039239406585694,0.003150089311165745,-1.3301027719109402,0.06823783661962314,30,SVR,400,Visite_ZNS,RASS
0.3221762943267823,0.020417175465315105,0.03611877918243408,0.0028056869068164994,-1.2147465773735282,0.055010841076618064,30,SGDRegressor,500,Visite_ZNS,RASS
0.3456430912017822,0.013907534768890692,0.10439246654510499,0.005051053117065616,-1.2269184588031252,0.061882073820446096,30,SVR,500,Visite_ZNS,RASS
0.3712657976150513,0.019634739663185387,0.045504827499389645,0.005848052869207493,-1.2442000726173377,0.061031598197705005,30,SGDRegressor,600,Visite_ZNS,RASS
0.4788886404037475,0.014763264232622753,0.15082411766052245,0.008574440967611941,-1.2267079984671203,0.06979971555787183,30,SVR,600,Visite_ZNS,RASS
0.41673699855804447,0.01845979692071189,0.05167320251464844,0.0045902811747459355,-1.2205380467073532,0.056375350839663996,30,SGDRegressor,700,Visite_ZNS,RASS
0.5942165136337281,0.02025853469033629,0.1869755792617798,0.009548811497106183,-1.1701512598199053,0.06483774989165554,30,SVR,700,Visite_ZNS,RASS
0.48454181194305423,0.029240659990705197,0.06031610488891601,0.005649030476957091,-1.206415183465896,0.06555290649571097,30,SGDRegressor,800,Visite_ZNS,RASS
0.7415957069396973,0.024279027241373114,0.23797768115997311,0.013534995362599162,-1.256270750193805,0.04063938626634194,30,SVR,800,Visite_ZNS,RASS
0.5789709043502806,0.07257013806381149,0.06565391063690186,0.00469813561396461,-1.2558119700287391,0.05055045744446115,30,SGDRegressor,900,Visite_ZNS,RASS
0.9301877737045288,0.042131551560156064,0.2994731616973877,0.019665545424940614,-1.2146392915257704,0.05570651461142005,30,SVR,900,Visite_ZNS,RASS
0.60669105052948,0.0328458663376194,0.07443277359008789,0.005615670279146058,-1.2249794121566926,0.0525730926532816,30,SGDRegressor,1000,Visite_ZNS,RASS
1.182128653526306,0.07218808543958803,0.3840250873565674,0.026756874839937904,-1.191777867029686,0.04231215566008769,30,SVR,1000,Visite_ZNS,RASS
0.8134584760665893,0.0421294375856069,0.11525783061981201,0.011793447034275217,-1.1688027443525622,0.042537181077911206,30,SGDRegressor,1500,Visite_ZNS,RASS
2.3344944763183593,0.08135642783248442,0.7690818738937377,0.04432403313067594,-1.1883780016362937,0.04301357984694047,30,SVR,1500,Visite_ZNS,RASS
1.0233681440353393,0.02652490585303157,0.14039046764373778,0.0055200330429229245,-1.214110457190662,0.041235701648049336,30,SGDRegressor,2000,Visite_ZNS,RASS
3.815564827919007,0.04668672963733977,1.2577956676483155,0.013803477668681507,-1.1217278623809657,0.0246437957496369,30,SVR,2000,Visite_ZNS,RASS
1.2039834880828857,0.03237865887199799,0.18079569816589355,0.010157296050687286,-1.155028023230631,0.02235305804607645,30,SGDRegressor,2500,Visite_ZNS,RASS
5.8552926778793335,0.1887261699840591,1.9434238719940187,0.07392308088582489,-1.094264978689005,0.032100287392899815,30,SVR,2500,Visite_ZNS,RASS
1.4933130884170533,0.10809721241928665,0.23388229846954345,0.02822043108739759,-1.157012821778665,0.027460926910020188,30,SGDRegressor,3000,Visite_ZNS,RASS
8.32972339630127,0.35000706366294143,2.845746312141418,0.19384833373591698,-1.077551920058728,0.02568194538945211,30,SVR,3000,Visite_ZNS,RASS
1.85558828830719,0.14112759275466094,0.2989756107330322,0.031775038697168044,-1.1822281411990907,0.02079946977841144,30,SGDRegressor,3500,Visite_ZNS,RASS
12.024059162139892,0.7302202681989443,4.084882397651672,0.339832986960476,-1.0812469669272713,0.024727110306801286,30,SVR,3500,Visite_ZNS,RASS
1.8526802396774293,0.04703668697420795,0.2985265874862671,0.010155124609830984,-1.153959879064828,0.023182803647753093,30,SGDRegressor,4000,Visite_ZNS,RASS
15.395661306381225,0.8659709625748615,5.32783821105957,0.3601354641118947,-1.0635933686791312,0.02101644151946093,30,SVR,4000,Visite_ZNS,RASS
2.176808123588562,0.27896246605507724,0.36099805355072023,0.0493244744744668,-1.1520489331414463,0.02112525884102272,30,SGDRegressor,4500,Visite_ZNS,RASS
18.963444709777836,0.6059212503902629,6.468913931846619,0.33995877240630784,-1.0781607498687973,0.022423125551202645,30,SVR,4500,Visite_ZNS,RASS
2.317665839195251,0.060863596172524514,0.39270357131958006,0.01213212344860251,-1.1365066337484453,0.020351696170652432,30,SGDRegressor,5000,Visite_ZNS,RASS
22.351496324539184,0.5948406869501459,7.729178609848022,0.3724007391282832,-1.039829152109379,0.022643708554649446,30,SVR,5000,Visite_ZNS,RASS
2.3029339551925663,0.09903742846173007,0.402139253616333,0.011401049021829635,-1.1395107459950393,0.023320323728808122,30,SGDRegressor,5500,Visite_ZNS,RASS
26.940278706550593,0.2925929780019374,9.19255968093872,0.11257488068607943,-1.0409171819554024,0.016591212090462864,30,SVR,5500,Visite_ZNS,RASS
2.696000647544861,0.026402946321295813,0.479249758720398,0.008151964165372248,-1.138109422052493,0.02066944239558071,30,SGDRegressor,6000,Visite_ZNS,RASS
31.867508983612062,0.42600018535456,11.00332718372345,0.36116825258750185,-1.028489946559944,0.0194753712667839,30,SVR,6000,Visite_ZNS,RASS
2.922710814476013,0.042032321416237584,0.5195373964309693,0.009905073858062063,-1.1346477202781062,0.018807929492296392,30,SGDRegressor,6500,Visite_ZNS,RASS
37.01932542800903,0.22384793749610835,12.63443699836731,0.07076127393586465,-1.012080286599115,0.020341412443064758,30,SVR,6500,Visite_ZNS,RASS
3.1706391620635985,0.050502005610532655,0.5775988531112671,0.01854536180106697,-1.130521348480241,0.01601411164067655,30,SGDRegressor,7000,Visite_ZNS,RASS
43.68209814071655,0.9579032406655269,15.00860391139984,0.33378118851510546,-1.0277611275851632,0.019214447767359498,30,SVR,7000,Visite_ZNS,RASS
3.3614015579223633,0.029610630259636856,0.6124247074127197,0.010714788972634073,-1.1311628192407908,0.016511531900845467,30,SGDRegressor,7500,Visite_ZNS,RASS
49.762284102439885,0.801053568967142,16.95614279270172,0.2798049448397978,-1.0166018124408907,0.013697748960406448,30,SVR,7500,Visite_ZNS,RASS
