svr__C,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
0.1,linear,char,"(2, 4)",<lambda>,-1.269300554404315,0.03789899078339236,317,2.925657272338867
0.1,linear,char,"(2, 4)",rmstop_clean_stem,-1.251300383850439,0.03633648284782536,283,2.6360921263694763
0.1,linear,char,"(2, 8)",<lambda>,-1.3614786578027973,0.04488417917724123,421,6.510462284088135
0.1,linear,char,"(2, 8)",rmstop_clean_stem,-1.3299303885461504,0.04302901180034679,405,5.635515928268433
0.1,linear,char,"(2, 12)",<lambda>,-1.4288131571251235,0.04813611773986643,462,10.667421877384186
0.1,linear,char,"(2, 12)",rmstop_clean_stem,-1.397528273797965,0.04492090281467351,441,8.814641118049622
0.1,linear,char,"(2, 16)",<lambda>,-1.4713707633404114,0.049710087694423304,480,14.683361113071442
0.1,linear,char,"(2, 16)",rmstop_clean_stem,-1.4403633951040908,0.047234760611871075,469,11.591353595256805
0.1,linear,char,"(4, 4)",<lambda>,-1.3067772837717857,0.04170772877287356,388,1.4745809435844421
0.1,linear,char,"(4, 4)",rmstop_clean_stem,-1.2774572557969595,0.03713837569404192,330,1.4508260488510132
0.1,linear,char,"(4, 8)",<lambda>,-1.3965151239369926,0.04686142743708992,440,5.377958118915558
0.1,linear,char,"(4, 8)",rmstop_clean_stem,-1.3641249570746292,0.04371338767992726,423,4.3144723773002625
0.1,linear,char,"(4, 12)",<lambda>,-1.4593116861937063,0.049913245846493606,473,9.204722106456757
0.1,linear,char,"(4, 12)",rmstop_clean_stem,-1.4295603657203464,0.04632725379208304,464,7.772745728492737
0.1,linear,char,"(4, 16)",<lambda>,-1.4999952344163008,0.0508109472689626,495,13.243426203727722
0.1,linear,char,"(4, 16)",rmstop_clean_stem,-1.4697967727123042,0.04945482569756847,477,10.603157222270966
0.1,linear,char,"(6, 8)",<lambda>,-1.4372486653536352,0.049304569719824026,467,3.4812819361686707
0.1,linear,char,"(6, 8)",rmstop_clean_stem,-1.4079126936313795,0.04538681365143262,448,2.893900752067566
0.1,linear,char,"(6, 12)",<lambda>,-1.4995676663051782,0.05152179269294777,493,7.473427832126617
0.1,linear,char,"(6, 12)",rmstop_clean_stem,-1.4712973557697482,0.0490682089788178,478,6.348926067352295
0.1,linear,char,"(6, 12)",<lambda>,-1.4995676663051782,0.05152179269294777,493,7.733972191810608
0.1,linear,char,"(6, 12)",rmstop_clean_stem,-1.4712973557697482,0.0490682089788178,478,6.217667758464813
0.1,linear,char,"(6, 16)",<lambda>,-1.5366784877108943,0.0528214364565413,507,11.33075761795044
0.1,linear,char,"(6, 16)",rmstop_clean_stem,-1.5109222313122042,0.05147292954577138,501,8.868241846561432
0.1,linear,char,"(8, 8)",<lambda>,-1.4865468625488187,0.047784283763126996,490,1.604610562324524
0.1,linear,char,"(8, 8)",rmstop_clean_stem,-1.4656682902966083,0.043877913945074114,475,1.4573270082473755
0.1,linear,char,"(8, 12)",<lambda>,-1.543312324220793,0.04994539436954537,510,5.563749015331268
0.1,linear,char,"(8, 12)",rmstop_clean_stem,-1.5202796008343629,0.04820432695325556,503,4.595249533653259
0.1,linear,char,"(8, 12)",<lambda>,-1.543312324220793,0.04994539436954537,510,5.506304144859314
0.1,linear,char,"(8, 12)",rmstop_clean_stem,-1.5202796008343629,0.04820432695325556,503,4.580069005489349
0.1,linear,char,"(8, 16)",<lambda>,-1.5756939157609955,0.05160846888617613,523,9.224441111087799
0.1,linear,char,"(8, 16)",rmstop_clean_stem,-1.5565447456046515,0.05075335713909855,516,7.449036657810211
0.1,linear,char_wb,"(2, 4)",<lambda>,-1.2537860352024994,0.031246117697372726,293,2.8151540756225586
0.1,linear,char_wb,"(2, 4)",rmstop_clean_stem,-1.2501982036403956,0.03251728533364273,282,2.5535738468170166
0.1,linear,char_wb,"(2, 8)",<lambda>,-1.284924921055074,0.03296267811785426,342,4.425243675708771
0.1,linear,char_wb,"(2, 8)",rmstop_clean_stem,-1.267835483444264,0.030136962797122427,314,3.6165621280670166
0.1,linear,char_wb,"(2, 12)",<lambda>,-1.3006497813311846,0.034329674476936314,375,5.045633256435394
0.1,linear,char_wb,"(2, 12)",rmstop_clean_stem,-1.2734220194836992,0.029785457212669276,323,3.9713919162750244
0.1,linear,char_wb,"(2, 16)",<lambda>,-1.305360892664139,0.03569193607168236,383,5.431719601154327
0.1,linear,char_wb,"(2, 16)",rmstop_clean_stem,-1.2750479749422967,0.029994452079685655,329,4.049659252166748
0.1,linear,char_wb,"(4, 4)",<lambda>,-1.2777208918253065,0.032799865159452525,331,1.207520604133606
0.1,linear,char_wb,"(4, 4)",rmstop_clean_stem,-1.2615216333732029,0.03050796060607864,307,1.1315117478370667
0.1,linear,char_wb,"(4, 8)",<lambda>,-1.3132182083623936,0.03439727005170154,394,2.8480597734451294
0.1,linear,char_wb,"(4, 8)",rmstop_clean_stem,-1.284015768763772,0.02931401750853737,340,2.2721704244613647
0.1,linear,char_wb,"(4, 12)",<lambda>,-1.3309025123399736,0.03505773842986125,406,3.369903326034546
0.1,linear,char_wb,"(4, 12)",rmstop_clean_stem,-1.2913292969433372,0.02795104262519341,356,2.5789575576782227
0.1,linear,char_wb,"(4, 16)",<lambda>,-1.3363430328999744,0.03577150755460977,411,3.5253345370292664
0.1,linear,char_wb,"(4, 16)",rmstop_clean_stem,-1.292764045577948,0.02736225584758372,364,2.617087960243225
0.1,linear,char_wb,"(6, 8)",<lambda>,-1.3393707438669185,0.034512299607648726,414,1.453076720237732
0.1,linear,char_wb,"(6, 8)",rmstop_clean_stem,-1.2926625939903302,0.031255797122238034,363,1.2264313101768494
0.1,linear,char_wb,"(6, 12)",<lambda>,-1.3657454945480318,0.03526666374125103,424,2.009067416191101
0.1,linear,char_wb,"(6, 12)",rmstop_clean_stem,-1.3048444192581614,0.028873813467524854,381,1.496548593044281
0.1,linear,char_wb,"(6, 12)",<lambda>,-1.3657454945480318,0.03526666374125103,424,2.0082006454467773
0.1,linear,char_wb,"(6, 12)",rmstop_clean_stem,-1.3048444192581614,0.028873813467524854,381,1.4618276357650757
0.1,linear,char_wb,"(6, 16)",<lambda>,-1.3733599700949815,0.03592319645648431,432,2.0914695858955383
0.1,linear,char_wb,"(6, 16)",rmstop_clean_stem,-1.3079184572161742,0.028834025801395494,391,1.4968351125717163
0.1,linear,char_wb,"(8, 8)",<lambda>,-1.3563664183036588,0.0387997926962887,420,0.5773794651031494
0.1,linear,char_wb,"(8, 8)",rmstop_clean_stem,-1.2874566025852803,0.04177544925586508,345,0.6391436457633972
0.1,linear,char_wb,"(8, 12)",<lambda>,-1.3998580010846926,0.03674437738239491,442,1.0624885559082031
0.1,linear,char_wb,"(8, 12)",rmstop_clean_stem,-1.3190431311046742,0.03948595908833749,397,0.8774470090866089
0.1,linear,char_wb,"(8, 12)",<lambda>,-1.3998580010846926,0.03674437738239491,442,1.056237518787384
0.1,linear,char_wb,"(8, 12)",rmstop_clean_stem,-1.3190431311046742,0.03948595908833749,397,0.8829483389854431
0.1,linear,char_wb,"(8, 16)",<lambda>,-1.4095383755382593,0.036937351276905984,451,1.1775145530700684
0.1,linear,char_wb,"(8, 16)",rmstop_clean_stem,-1.3236892565048852,0.039958573495659296,403,0.908454418182373
0.1,sigmoid,char,"(2, 4)",<lambda>,-1.2737106063184123,0.03730334787405228,325,3.325246751308441
0.1,sigmoid,char,"(2, 4)",rmstop_clean_stem,-1.2561390292930548,0.03571189615028659,299,2.905152678489685
0.1,sigmoid,char,"(2, 8)",<lambda>,-1.3659631678889883,0.04393931051192181,426,7.263388931751251
0.1,sigmoid,char,"(2, 8)",rmstop_clean_stem,-1.3346395137661389,0.04170191309250417,408,6.15262234210968
0.1,sigmoid,char,"(2, 12)",<lambda>,-1.4333405207324215,0.0481280339068094,465,11.61143559217453
0.1,sigmoid,char,"(2, 12)",rmstop_clean_stem,-1.402168466939474,0.04430926498048298,445,9.65062165260315
0.1,sigmoid,char,"(2, 16)",<lambda>,-1.4749882512092163,0.04916806483093968,482,15.97582322359085
0.1,sigmoid,char,"(2, 16)",rmstop_clean_stem,-1.4445372274096913,0.046860821836895855,472,12.822629809379578
0.1,sigmoid,char,"(4, 4)",<lambda>,-1.3100098761681485,0.04093529411048908,392,1.7281374335289001
0.1,sigmoid,char,"(4, 4)",rmstop_clean_stem,-1.2821432305560747,0.035770966023111854,337,1.650120496749878
0.1,sigmoid,char,"(4, 8)",<lambda>,-1.4006324377466675,0.04605395136308153,444,5.743289768695831
0.1,sigmoid,char,"(4, 8)",rmstop_clean_stem,-1.36887416276972,0.04298666198856638,427,4.812934875488281
0.1,sigmoid,char,"(4, 12)",<lambda>,-1.4635798479826898,0.04933698787490573,474,9.839011073112488
0.1,sigmoid,char,"(4, 12)",rmstop_clean_stem,-1.4342058667925572,0.04493769390045148,466,8.267775535583496
0.1,sigmoid,char,"(4, 16)",<lambda>,-1.5035680690472926,0.05009591408569808,498,13.985093116760254
0.1,sigmoid,char,"(4, 16)",rmstop_clean_stem,-1.4744566104689194,0.04868585125601526,481,11.426688134670258
0.1,sigmoid,char,"(6, 8)",<lambda>,-1.4405968485217229,0.0486650590835553,470,3.7901005148887634
0.1,sigmoid,char,"(6, 8)",rmstop_clean_stem,-1.4119107372527067,0.04427395736660586,452,3.159709632396698
0.1,sigmoid,char,"(6, 12)",<lambda>,-1.5025233696547229,0.05070130886569586,496,7.947568595409393
0.1,sigmoid,char,"(6, 12)",rmstop_clean_stem,-1.4754070592238928,0.0488111894977762,483,6.695037305355072
0.1,sigmoid,char,"(6, 12)",<lambda>,-1.5025233696547229,0.05070130886569586,496,8.163677275180817
0.1,sigmoid,char,"(6, 12)",rmstop_clean_stem,-1.4754070592238928,0.0488111894977762,483,6.6236613392829895
0.1,sigmoid,char,"(6, 16)",<lambda>,-1.5398875601517314,0.0525035454855708,508,12.276763260364532
0.1,sigmoid,char,"(6, 16)",rmstop_clean_stem,-1.5149706891034378,0.0510138186278443,502,9.682494819164276
0.1,sigmoid,char,"(8, 8)",<lambda>,-1.4865040554689957,0.0477610931939588,489,1.7178862690925598
0.1,sigmoid,char,"(8, 8)",rmstop_clean_stem,-1.4668235995783012,0.04362303752445948,476,1.5768541097640991
0.1,sigmoid,char,"(8, 12)",<lambda>,-1.543676486483,0.04986182860108404,512,5.800802648067474
0.1,sigmoid,char,"(8, 12)",rmstop_clean_stem,-1.5213619091980342,0.04821437514837035,505,4.806330680847168
0.1,sigmoid,char,"(8, 12)",<lambda>,-1.543676486483,0.04986182860108404,512,5.800645112991333
0.1,sigmoid,char,"(8, 12)",rmstop_clean_stem,-1.5213619091980342,0.04821437514837035,505,4.726400971412659
0.1,sigmoid,char,"(8, 16)",<lambda>,-1.5763252001455053,0.051815201091943174,525,9.779145658016205
0.1,sigmoid,char,"(8, 16)",rmstop_clean_stem,-1.5574327171752849,0.0504849138150405,520,7.91883111000061
0.1,sigmoid,char_wb,"(2, 4)",<lambda>,-1.2596974915138517,0.03075420270097519,305,2.926670789718628
0.1,sigmoid,char_wb,"(2, 4)",rmstop_clean_stem,-1.2581715552906734,0.032413834906009666,303,2.6823524236679077
0.1,sigmoid,char_wb,"(2, 8)",<lambda>,-1.2915075722122253,0.03297265711899962,358,4.8258331418037415
0.1,sigmoid,char_wb,"(2, 8)",rmstop_clean_stem,-1.2746732812140673,0.030278606864907794,328,3.9371342062950134
0.1,sigmoid,char_wb,"(2, 12)",<lambda>,-1.3062960779374184,0.03522324300495294,387,5.539243698120117
0.1,sigmoid,char_wb,"(2, 12)",rmstop_clean_stem,-1.2816418297048353,0.030428124281902703,335,4.337723672389984
0.1,sigmoid,char_wb,"(2, 16)",<lambda>,-1.3112521236736492,0.035874339044840366,393,5.743039846420288
0.1,sigmoid,char_wb,"(2, 16)",rmstop_clean_stem,-1.28313687862844,0.03004444191615358,339,4.161934912204742
0.1,sigmoid,char_wb,"(4, 4)",<lambda>,-1.2829264894724561,0.03268554970445751,338,1.2885393500328064
0.1,sigmoid,char_wb,"(4, 4)",rmstop_clean_stem,-1.2678373173339246,0.030336041160078573,315,1.2135224342346191
0.1,sigmoid,char_wb,"(4, 8)",<lambda>,-1.319063894265111,0.03438218981838464,399,3.0192707180976868
0.1,sigmoid,char_wb,"(4, 8)",rmstop_clean_stem,-1.2918813805230895,0.02842056601850932,360,2.4131389260292053
0.1,sigmoid,char_wb,"(4, 12)",<lambda>,-1.3368029172148275,0.03389951839068862,412,3.647555351257324
0.1,sigmoid,char_wb,"(4, 12)",rmstop_clean_stem,-1.3001931389095291,0.027445659552612887,374,2.7375780940055847
0.1,sigmoid,char_wb,"(4, 16)",<lambda>,-1.3431671868449848,0.03555721070279266,416,3.857100009918213
0.1,sigmoid,char_wb,"(4, 16)",rmstop_clean_stem,-1.3021041156153697,0.02724897390421869,378,2.832719624042511
0.1,sigmoid,char_wb,"(6, 8)",<lambda>,-1.3467248975081905,0.034125759091800226,417,1.6057794690132141
0.1,sigmoid,char_wb,"(6, 8)",rmstop_clean_stem,-1.3027381374219558,0.03176310094717894,379,1.2862365245819092
0.1,sigmoid,char_wb,"(6, 12)",<lambda>,-1.3732335271487717,0.0355047445619333,430,2.0754348635673523
0.1,sigmoid,char_wb,"(6, 12)",rmstop_clean_stem,-1.3174832435581265,0.030229930244296162,395,1.5590868592262268
0.1,sigmoid,char_wb,"(6, 12)",<lambda>,-1.3732335271487717,0.0355047445619333,430,2.1254777312278748
0.1,sigmoid,char_wb,"(6, 12)",rmstop_clean_stem,-1.3174832435581265,0.030229930244296162,395,1.5703518390655518
0.1,sigmoid,char_wb,"(6, 16)",<lambda>,-1.3814932343888315,0.03652116336592374,436,2.2815117835998535
0.1,sigmoid,char_wb,"(6, 16)",rmstop_clean_stem,-1.3206060015084613,0.030483616944297354,402,1.6273649334907532
0.1,sigmoid,char_wb,"(8, 8)",<lambda>,-1.36333708314147,0.038732569613228046,422,0.6591477394104004
0.1,sigmoid,char_wb,"(8, 8)",rmstop_clean_stem,-1.297998454380112,0.04270200865550673,370,0.730414092540741
0.1,sigmoid,char_wb,"(8, 12)",<lambda>,-1.4094983919636475,0.03683582697973698,449,1.3065435290336609
0.1,sigmoid,char_wb,"(8, 12)",rmstop_clean_stem,-1.3352598019484037,0.04003872217231039,409,1.0519866943359375
0.1,sigmoid,char_wb,"(8, 12)",<lambda>,-1.4094983919636475,0.03683582697973698,449,1.262033462524414
0.1,sigmoid,char_wb,"(8, 12)",rmstop_clean_stem,-1.3352598019484037,0.04003872217231039,409,1.0062260031700134
0.1,sigmoid,char_wb,"(8, 16)",<lambda>,-1.4198681454428685,0.03692302518278715,459,1.4203186631202698
0.1,sigmoid,char_wb,"(8, 16)",rmstop_clean_stem,-1.3398942965928753,0.03997817843699865,415,1.0734903812408447
1.0,linear,char,"(2, 4)",<lambda>,-1.0741852343240974,0.028517189047222648,5,3.1499577164649963
1.0,linear,char,"(2, 4)",rmstop_clean_stem,-1.076180093940843,0.03239319498956039,7,2.8316373229026794
1.0,linear,char,"(2, 8)",<lambda>,-1.0729965878808294,0.03057286331278134,3,6.861335635185242
1.0,linear,char,"(2, 8)",rmstop_clean_stem,-1.0700933663793628,0.030478887668269672,1,5.8914042711257935
1.0,linear,char,"(2, 12)",<lambda>,-1.0771695248205952,0.03080973525417384,8,11.136881589889526
1.0,linear,char,"(2, 12)",rmstop_clean_stem,-1.0716441654135553,0.030672108662934676,2,9.01840752363205
1.0,linear,char,"(2, 16)",<lambda>,-1.0843724407770565,0.03185818734608621,14,14.93042004108429
1.0,linear,char,"(2, 16)",rmstop_clean_stem,-1.0754700913148088,0.028801740893901244,6,11.481578767299652
1.0,linear,char,"(4, 4)",<lambda>,-1.0846974175758781,0.02873053168896745,15,1.4655784368515015
1.0,linear,char,"(4, 4)",rmstop_clean_stem,-1.0812172472439272,0.027091433629353196,10,1.4665799140930176
1.0,linear,char,"(4, 8)",<lambda>,-1.0879727474387533,0.029015092539151226,20,5.338211119174957
1.0,linear,char,"(4, 8)",rmstop_clean_stem,-1.0830328626263472,0.02679697489496101,13,4.342007994651794
1.0,linear,char,"(4, 12)",<lambda>,-1.0964963675128763,0.031793963838414076,30,9.081597924232483
1.0,linear,char,"(4, 12)",rmstop_clean_stem,-1.089850912549462,0.02817492893393146,21,7.60919713973999
1.0,linear,char,"(4, 16)",<lambda>,-1.1038462596268455,0.03145603612904731,39,13.001830875873566
1.0,linear,char,"(4, 16)",rmstop_clean_stem,-1.094122442204246,0.02637156019515194,27,10.56962364912033
1.0,linear,char,"(6, 8)",<lambda>,-1.1078356781618033,0.030720267228695135,47,3.437270939350128
1.0,linear,char,"(6, 8)",rmstop_clean_stem,-1.1044405012010152,0.02561294244655497,41,2.9009013175964355
1.0,linear,char,"(6, 12)",<lambda>,-1.1266041441088384,0.034229379549303336,88,7.41575413942337
1.0,linear,char,"(6, 12)",rmstop_clean_stem,-1.1224582734793103,0.027333642768264072,76,6.086889207363129
1.0,linear,char,"(6, 12)",<lambda>,-1.1266041441088384,0.034229379549303336,88,7.507932186126709
1.0,linear,char,"(6, 12)",rmstop_clean_stem,-1.1224582734793103,0.027333642768264072,76,6.124338984489441
1.0,linear,char,"(6, 16)",<lambda>,-1.1391125451113022,0.03368591354930349,119,11.135693311691284
1.0,linear,char,"(6, 16)",rmstop_clean_stem,-1.1332697908184413,0.025752125298419033,103,8.686450481414795
1.0,linear,char,"(8, 8)",<lambda>,-1.1483357000452852,0.03746170292799208,130,1.547097086906433
1.0,linear,char,"(8, 8)",rmstop_clean_stem,-1.156397916244308,0.030060298039731363,148,1.475830852985382
1.0,linear,char,"(8, 12)",<lambda>,-1.1845807749459167,0.03590619593205719,184,5.496485233306885
1.0,linear,char,"(8, 12)",rmstop_clean_stem,-1.1876368118450897,0.029844636507948403,190,4.551523566246033
1.0,linear,char,"(8, 12)",<lambda>,-1.1845807749459167,0.03590619593205719,184,5.42675244808197
1.0,linear,char,"(8, 12)",rmstop_clean_stem,-1.1876368118450897,0.029844636507948403,190,4.541086912155151
1.0,linear,char,"(8, 16)",<lambda>,-1.207324972212674,0.03702475209069269,235,9.342226445674896
1.0,linear,char,"(8, 16)",rmstop_clean_stem,-1.2045751052864315,0.02699346386577708,234,7.636952579021454
1.0,linear,char_wb,"(2, 4)",<lambda>,-1.073167205423903,0.02993400720279966,4,2.8951433897018433
1.0,linear,char_wb,"(2, 4)",rmstop_clean_stem,-1.1002577676300302,0.03491915369968408,33,2.521788001060486
1.0,linear,char_wb,"(2, 8)",<lambda>,-1.0824895434081698,0.03769006663560479,12,4.414640247821808
1.0,linear,char_wb,"(2, 8)",rmstop_clean_stem,-1.1066802279088264,0.03224997929066005,45,3.6323161125183105
1.0,linear,char_wb,"(2, 12)",<lambda>,-1.0910517180530173,0.03866047813044666,22,5.04988420009613
1.0,linear,char_wb,"(2, 12)",rmstop_clean_stem,-1.1114069848382702,0.03161929290764725,52,3.9588895440101624
1.0,linear,char_wb,"(2, 16)",<lambda>,-1.0930813406968998,0.03847349782815771,24,5.059886455535889
1.0,linear,char_wb,"(2, 16)",rmstop_clean_stem,-1.112140464646962,0.031398048337598065,54,3.8468639254570007
1.0,linear,char_wb,"(4, 4)",<lambda>,-1.0873784497765622,0.03733363177758385,19,1.1795152425765991
1.0,linear,char_wb,"(4, 4)",rmstop_clean_stem,-1.109722183532556,0.028902710411467802,50,1.0967464447021484
1.0,linear,char_wb,"(4, 8)",<lambda>,-1.108213986611804,0.044574206133299786,48,2.711609363555908
1.0,linear,char_wb,"(4, 8)",rmstop_clean_stem,-1.1180984473880957,0.03330137049694466,67,2.2009947896003723
1.0,linear,char_wb,"(4, 12)",<lambda>,-1.1191177122938463,0.04613790839423209,69,3.2739298939704895
1.0,linear,char_wb,"(4, 12)",rmstop_clean_stem,-1.1234758453236258,0.033103268507206976,78,2.4911089539527893
1.0,linear,char_wb,"(4, 16)",<lambda>,-1.1222408044135004,0.0466619754966217,75,3.48473197221756
1.0,linear,char_wb,"(4, 16)",rmstop_clean_stem,-1.124618761507671,0.03315099685587795,80,2.6381426453590393
1.0,linear,char_wb,"(6, 8)",<lambda>,-1.1197415993798063,0.043274276252471294,73,1.495827555656433
1.0,linear,char_wb,"(6, 8)",rmstop_clean_stem,-1.1196508818062247,0.03324336341795478,71,1.2100219130516052
1.0,linear,char_wb,"(6, 12)",<lambda>,-1.136556593752319,0.043641061399045264,114,1.9069284200668335
1.0,linear,char_wb,"(6, 12)",rmstop_clean_stem,-1.128537516597498,0.030576663163870994,92,1.4565774202346802
1.0,linear,char_wb,"(6, 12)",<lambda>,-1.136556593752319,0.043641061399045264,114,1.929806113243103
1.0,linear,char_wb,"(6, 12)",rmstop_clean_stem,-1.128537516597498,0.030576663163870994,92,1.446570098400116
1.0,linear,char_wb,"(6, 16)",<lambda>,-1.1402073236957615,0.04214094420405103,120,2.042965888977051
1.0,linear,char_wb,"(6, 16)",rmstop_clean_stem,-1.1299586880643122,0.03034197797603358,95,1.47658109664917
1.0,linear,char_wb,"(8, 8)",<lambda>,-1.1145592339569677,0.03879885722070437,61,0.607136070728302
1.0,linear,char_wb,"(8, 8)",rmstop_clean_stem,-1.1181222061355949,0.03799547940722972,68,0.6473954319953918
1.0,linear,char_wb,"(8, 12)",<lambda>,-1.148798859298042,0.03672533831822441,131,1.0592381358146667
1.0,linear,char_wb,"(8, 12)",rmstop_clean_stem,-1.1354971067676682,0.030736175880429432,107,0.8661941885948181
1.0,linear,char_wb,"(8, 12)",<lambda>,-1.148798859298042,0.03672533831822441,131,1.0534864664077759
1.0,linear,char_wb,"(8, 12)",rmstop_clean_stem,-1.1354971067676682,0.030736175880429432,107,0.885948657989502
1.0,linear,char_wb,"(8, 16)",<lambda>,-1.1543942550984614,0.03504249896642676,145,1.2072710394859314
1.0,linear,char_wb,"(8, 16)",rmstop_clean_stem,-1.138906394212121,0.030375733874238763,118,0.9424617886543274
1.0,sigmoid,char,"(2, 4)",<lambda>,-1.0932955282893884,0.02598661996611864,26,3.392262279987335
1.0,sigmoid,char,"(2, 4)",rmstop_clean_stem,-1.0987679407544277,0.02986178094434309,31,3.046684205532074
1.0,sigmoid,char,"(2, 8)",<lambda>,-1.0862806809506815,0.030408764082515697,17,7.47968053817749
1.0,sigmoid,char,"(2, 8)",rmstop_clean_stem,-1.0801819054669028,0.02740369207243821,9,6.331671595573425
1.0,sigmoid,char,"(2, 12)",<lambda>,-1.087032461510383,0.03312648002417394,18,11.659017562866211
1.0,sigmoid,char,"(2, 12)",rmstop_clean_stem,-1.082354561613907,0.02950782225585404,11,9.671999752521515
1.0,sigmoid,char,"(2, 16)",<lambda>,-1.0931760335317828,0.032890394212762665,25,15.579378008842468
1.0,sigmoid,char,"(2, 16)",rmstop_clean_stem,-1.0850256945896062,0.029837403574800157,16,12.171982765197754
1.0,sigmoid,char,"(4, 4)",<lambda>,-1.1067383671196278,0.030448567144747536,46,1.6553717255592346
1.0,sigmoid,char,"(4, 4)",rmstop_clean_stem,-1.101126585745314,0.024415122024739954,35,1.6076109409332275
1.0,sigmoid,char,"(4, 8)",<lambda>,-1.1004064941664904,0.029909475751615452,34,5.723036050796509
1.0,sigmoid,char,"(4, 8)",rmstop_clean_stem,-1.0950069982546256,0.02445641865210417,29,4.740337371826172
1.0,sigmoid,char,"(4, 12)",<lambda>,-1.1062297625921098,0.03256095871384469,44,9.634864330291748
1.0,sigmoid,char,"(4, 12)",rmstop_clean_stem,-1.1021574111095314,0.027988476126441106,37,7.974512219429016
1.0,sigmoid,char,"(4, 16)",<lambda>,-1.1127583274757393,0.0322039177099649,57,13.843077540397644
1.0,sigmoid,char,"(4, 16)",rmstop_clean_stem,-1.1053725790046174,0.02806688278872867,43,11.135501086711884
1.0,sigmoid,char,"(6, 8)",<lambda>,-1.1197165937962397,0.03183360079320632,72,3.7263365983963013
1.0,sigmoid,char,"(6, 8)",rmstop_clean_stem,-1.1168738666655647,0.024606344280678573,62,3.1627102494239807
1.0,sigmoid,char,"(6, 12)",<lambda>,-1.1364627755823933,0.03481682768867536,112,7.740552306175232
1.0,sigmoid,char,"(6, 12)",rmstop_clean_stem,-1.1360798686242142,0.02881503993132691,110,6.44051468372345
1.0,sigmoid,char,"(6, 12)",<lambda>,-1.1364627755823933,0.03481682768867536,112,7.976020395755768
